sex,age,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
M,18,mother,1,1,1,no,no,no,no,yes,no,yes,no,2,3,1,2,2,5,0,0
M,19,mother,2,1,3,no,no,no,yes,yes,yes,no,no,3,2,1,1,1,3,4,9
M,18,mother,1,2,2,no,yes,no,yes,yes,no,yes,no,4,4,5,1,3,3,9,8
M,16,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,3,2,4,4,6,8
M,19,other,2,1,3,no,no,no,yes,no,no,yes,yes,4,4,3,1,3,5,4,9
F,16,mother,2,2,2,no,yes,no,yes,yes,yes,no,yes,2,5,5,1,1,1,8,7
F,17,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,4,3,2,1,2,5,9,10
M,20,other,2,1,1,no,yes,no,no,yes,no,yes,yes,4,4,3,2,4,4,12,10
F,18,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,4,3,4,2,8,10
M,18,mother,2,1,0,no,yes,no,no,no,yes,yes,no,2,5,5,5,5,5,8,11
M,19,other,3,2,1,no,no,no,no,yes,yes,yes,no,5,4,4,3,3,2,8,11
M,17,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,5,4,2,3,3,4,10
M,18,mother,1,1,0,no,no,no,no,yes,no,yes,yes,4,3,3,2,3,3,0,9
M,19,other,3,1,1,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,5,4,10
F,18,mother,2,2,2,no,yes,no,no,yes,yes,no,no,4,3,3,1,1,5,2,8
F,19,mother,1,1,0,no,yes,no,no,yes,no,no,no,1,4,4,1,1,5,0,7
F,18,mother,2,1,1,no,no,no,no,yes,no,yes,yes,5,5,5,1,1,3,0,0
F,17,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,5,0,11
F,17,other,2,3,0,no,yes,yes,no,yes,no,no,no,4,2,3,2,2,3,5,8
F,17,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,5,5,1,3,5,0,0
F,18,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,2,3,3,1,2,4,3,8
F,17,mother,1,1,0,no,yes,no,no,yes,yes,no,yes,3,2,2,1,1,5,0,9
F,17,father,1,1,0,no,no,no,no,yes,yes,yes,no,5,5,1,1,1,3,0,10
F,18,mother,3,2,2,no,no,no,yes,yes,yes,no,yes,3,4,4,2,2,5,3,7
F,18,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,3,5,1,1,1,2,14
F,17,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,4,0,13
F,18,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,3,1,2,4,0,14
F,18,mother,2,2,0,no,no,no,yes,no,yes,yes,no,4,3,5,1,2,1,0,18
M,18,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,5,1,1,5,3,17
F,17,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,4,0,18
F,18,mother,3,2,1,no,no,no,yes,yes,yes,no,yes,4,3,3,1,1,4,0,0
M,18,mother,2,1,0,no,yes,no,no,no,yes,no,no,4,1,4,5,5,1,8,11
M,18,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,5,5,1,1,1,5,14
M,17,father,3,1,0,no,no,no,no,no,no,no,no,4,2,3,3,4,4,4,14
F,18,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,1,3,1,1,1,2,4,10
F,18,father,2,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,1,4,3,0,13
F,18,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,1,1,1,5,0,0
F,18,mother,3,2,1,no,no,no,no,yes,no,no,no,4,4,2,1,2,2,2,10
F,19,father,2,1,1,no,no,no,no,yes,no,no,no,5,5,5,2,3,2,0,0
F,17,father,2,4,0,no,no,no,no,yes,yes,yes,yes,4,2,3,3,1,5,0,18
F,17,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,2,5,12
F,18,mother,1,2,0,no,no,no,no,yes,yes,no,yes,5,2,3,1,2,3,2,11
F,18,father,2,2,0,no,yes,no,no,yes,no,no,no,4,1,1,1,1,4,0,12
F,19,other,2,2,3,no,yes,no,yes,yes,no,no,yes,3,5,4,1,4,1,0,0
F,18,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,2,1,1,1,4,5,15
M,17,mother,2,2,1,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4,11
F,18,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,1,1,5,0,10
F,17,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,2,12
F,17,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1,2,3,1,2,5,0,15
M,18,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,2,14
F,18,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,1,4,0,18
F,18,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,4,1,4,5,0,15
F,18,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,3,3,6,13
F,17,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,2,3,4,1,1,1,4,15
F,17,father,2,2,0,no,no,no,no,no,yes,no,no,3,2,2,1,2,3,0,13
M,18,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,3,0,9
M,18,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,16
F,17,mother,3,1,1,no,yes,no,no,yes,yes,yes,yes,5,2,1,1,2,1,0,9
F,18,father,2,1,0,no,yes,no,no,yes,yes,yes,yes,5,2,3,1,2,4,0,10
F,18,father,3,2,0,no,yes,no,no,no,yes,yes,yes,3,2,2,4,2,5,0,0
M,18,father,3,1,0,no,yes,no,yes,yes,no,yes,yes,4,3,3,2,3,3,3,10
F,17,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3,4,3,1,1,3,8,12
F,17,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,1,3,1,4,9
F,18,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,17
F,18,mother,4,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,2,4,4,12
F,19,other,2,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,3,4,9
F,18,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,3,3,4,2,1,14
F,18,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,1,3,1,2,1,1,16
F,17,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,5,4,2,3,1,10,9
M,18,father,1,2,0,no,no,no,yes,no,yes,yes,no,3,2,4,1,4,2,4,19
M,18,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4,4,3,1,3,5,0,0
M,17,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,3,4,16
M,19,mother,2,1,1,no,no,no,no,yes,yes,no,no,4,3,2,1,3,5,0,0
M,18,father,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,4,3,3,0,0
F,18,mother,2,3,0,no,no,no,no,yes,yes,no,no,5,3,3,1,3,4,0,15
F,17,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,5,4,1,1,1,0,11
F,18,mother,3,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,2,2,5,4,10
F,19,mother,1,3,1,no,no,no,yes,no,yes,yes,no,5,4,2,1,2,5,4,10
F,18,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,1,1,4,16
F,18,mother,2,2,0,no,no,no,yes,yes,yes,no,no,1,1,1,1,1,5,6,9
M,17,mother,2,1,0,no,no,no,no,no,yes,yes,no,2,4,5,3,4,2,6,10
M,18,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,3,4,5,4,11
